Club_Name,Logo_URL,Mail_ID,Website_Link
180 Degrees Consulting,,ussu.180dc@surrey.ac.uk,http://surreyunion.org/180degreesconsulting
ACS,https://my.ussu.co.uk/activity/PublishingImages/Logos/ACS.jpg,ussu.acs@surrey.ac.uk,https://surreyunion.org/ACS
Ahlulbayt Islamic Society,https://my.ussu.co.uk/activity/PublishingImages/Logos/Ahlul%20Bayt%20Soc%20Logo.jpg,ussu.ahlulbayt@surrey.ac.uk,https://surreyunion.org/ahlulbayt
AI & Data Science Society,,ai,http://surreyunion.org/
American Football,https://my.ussu.co.uk/activity/PublishingImages/Logos/American%20Football%20-%20SSPSportsIcons.jpg,Ussu.Americanfootball@surrey.ac.uk,https://surreyunion.org/americanfootball
Anime and Manga Society,https://my.ussu.co.uk/activity/PublishingImages/Logos/Anime.jpg,ussu.anime@surrey.ac.uk,https://surreyunion.org/AnimeSociety
Archery,https://my.ussu.co.uk/activity/PublishingImages/Logos/Archery%20-%20SSPSportsIcons.jpg,ussu.Archery@surrey.ac.uk,https://teamsurreyarchery.wixsite.com/uosarcheryclub
ArtSoc,https://my.ussu.co.uk/activity/PublishingImages/Logos/_w/art%20soc%20logo_jpeg.jpg,ussu.artsoc@surrey.ac.uk,https://surreyunion.org/ArtSociety
Association of British and Chinese University Students (ABACUS),https://my.ussu.co.uk/activity/PublishingImages/ABACUS%20logo%20with%20background.png,ussu.abacus@surrey.ac.uk,https://surreyunion.org/ABACUS
AutiSoc,https://my.ussu.co.uk/activity/PublishingImages/AutiSoc%20Logo.jpg,ussu.autisoc@surrey.ac.uk,https://surreyunion.org/autisoc
Badminton,https://my.ussu.co.uk/activity/PublishingImages/Logos/Badminton%20-%20SSPSportsIcons.jpg,Ussu.Badminton@surrey.ac.uk,https://surreyunion.org/badminton
Ballroom and Latin Dance,https://my.ussu.co.uk/activity/PublishingImages/Logos/Ballroom%20%20Latin%20Dance%20-%20SSPSportsIcons.jpg,Ussu.Ballroom@surrey.ac.uk,https://www.surreybldc.com
Baseball and Softball,https://my.ussu.co.uk/activity/PublishingImages/Logos/Baseball.png,ussu.baseball@surrey.ac.uk ,https://surreyunion.org/baseball
Basketball,https://my.ussu.co.uk/activity/PublishingImages/Logos/Basketball%20-%20SSPSportsIcons.jpg,Ussu.Basketball@surrey.ac.uk,https://surreyunion.org/basketball
Bhangra Society,https://my.ussu.co.uk/activity/PublishingImages/Bhangra.jpg,ussu.bhangra@surrey.ac.uk,https://ussu.co.uk
Big Band,https://my.ussu.co.uk/activity/PublishingImages/Logos/Big%20Band.jpg,ussu.bigband@surrey.ac.uk,https://surreyunion.org/bigband
BioSoc,https://my.ussu.co.uk/activity/PublishingImages/Logos/BioSoc%20Logo.png,ussu.biosoc@surrey.ac.uk,https://surreyunion.org/biosoc
Boat,https://my.ussu.co.uk/activity/PublishingImages/Logos/Boat%20(Rowing)%20-%20SSPSportsIcons.jpg,Ussu.Boat@surrey.ac.uk,https://www.surreyboatclub.co.uk/
Book Club Society,https://my.ussu.co.uk/activity/PublishingImages/book%20club%20logo.png,ussu.bookclub@surrey.ac.uk,https://surreyunion.org/BookClub/
Boxing,https://my.ussu.co.uk/activity/PublishingImages/Logos/Boxing%20-%20SSPSportsIcons.jpg,Ussu.Boxing@surrey.ac.uk,https://surreyunion.org/boxing
Brass Ensemble Society,,ussu.brassensemblesoc@surrey.ac.uk,http://surreyunion.org/brassensemblesociety
Bulgarian Society,https://my.ussu.co.uk/activity/PublishingImages/logobgsoczafb.png,ussu.bulgarian@surrey.ac.uk,https://surreyunion.org/BulgarianSociety
Canoe,https://my.ussu.co.uk/activity/PublishingImages/Logos/Canoe%20-%20SSPSportsIcons.jpg,Ussu.Canoe@surrey.ac.uk,https://surreyunion.org/canoe
Cantonese Christian Fellowship,https://my.ussu.co.uk/activity/PublishingImages/Logos/Chinese%20Christian%20Fellowship.jpg,ussu.ccf@surrey.ac.uk,https://surreyunion.org/CantoneseChristianFellowship
Catholic Society,https://my.ussu.co.uk/activity/_layouts/15/DocIdRedir.aspx?ID=USSU-2445-585,ussu.cathsoc@surrey.ac.uk,http://surreyunion.org/catholicsociety
Cheerleading,https://my.ussu.co.uk/activity/PublishingImages/Logos/Cheerleading%20-%20SSPSportsIcons.jpg,Ussu.Cheerleading@surrey.ac.uk,https://surreyunion.org/cheerleading
ChemEng Soc,https://my.ussu.co.uk/activity/PublishingImages/Logos/ChemSoc.png,ussu.chemeng@surrey.ac.uk,https://surreyunion.org/ChemicalEngineeringSociety
Chemistry Society,https://my.ussu.co.uk/activity/PublishingImages/Logos/Chem%20Soc.jpg,ussu.chemsoc@surrey.ac.uk,https://surreyunion.org/ChemSoc
Chess,https://my.ussu.co.uk/activity/PublishingImages/Logos/Chess.jpg,ussu.chess@surrey.ac.uk,https://surreyunion.org/ChessSociety
Chinese Society,https://my.ussu.co.uk/activity/PublishingImages/Chinese%20Logo.jpg,ussu.chinese@surrey.ac.uk,https://surreyunion.org/Chinese
Chosen Christian Fellowship Society,https://my.ussu.co.uk/activity/PublishingImages/Logos/Chosen.jpg,ussu.chosen@surrey.ac.uk,https://surreyunion.org/chosen
Christian Union,https://my.ussu.co.uk/activity/PublishingImages/Logos/Christian%20Union.jpg,ussu.cu@surrey.ac.uk,http://www.uscu.org.uk/
